IBOVESPA - 2024
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;128.481,02;129.180,37;126.990,45;;;;;;;;
2;132.696,63;127.182,25;;127.548,52;;;;;;;;
3;132.833,95;;;127.318,39;;;;;;;;
4;131.225,91;;128.340,54;127.427,53;;;;;;;;
5;132.022,92;127.593,49;128.098,11;126.795,41;;;;;;;;
6;;130.416,31;128.890,23;;;;;;;;;
7;;129.949,90;128.339,76;;;;;;;;;
8;132.426,54;128.216,92;127.070,79;128.857,16;;;;;;;;
9;131.446,59;128.025,70;;129.890,37;;;;;;;;
10;130.841,09;;;128.053,74;;;;;;;;
11;130.648,75;;126.123,56;127.396,35;;;;;;;;
12;130.987,67;;127.667,84;125.946,09;;;;;;;;
13;;;128.006,05;;;;;;;;;
14;;127.018,29;127.689,97;;;;;;;;;
15;131.520,91;127.804,13;126.741,81;125.333,89;;;;;;;;
16;129.294,04;128.725,88;;124.388,62;;;;;;;;
17;128.523,83;;;124.171,15;;;;;;;;
18;127.315,74;;126.954,18;124.196,18;;;;;;;;
19;127.635,65;129.035,74;127.528,85;125.124,30;;;;;;;;
20;;129.916,11;129.124,83;;;;;;;;;
21;;130.031,58;128.158,57;;;;;;;;;
22;126.601,55;130.240,55;127.027,10;;;;;;;;;
23;128.262,52;129.418,73;;;;;;;;;;
24;127.815,70;;;;;;;;;;;
25;128.168,73;;126.931,47;;;;;;;;;
26;128.967,32;129.609,05;126.863,02;;;;;;;;;
27;;131.689,37;127.690,62;;;;;;;;;
28;;130.155,43;128.106,10;;;;;;;;;
29;128.502,66;129.020,02;;;;;;;;;;
30;127.401,81;;;;;;;;;;;
31;127.752,28;;;;;;;;;;;
MÍNIMO;126.601,55;127.018,29;126.123,56;124.171,15;;;;;;;;
MÍNIMO;132.833,95;131.689,37;129.180,37;129.890,37;;;;;;;;
